SiteID,utm_y,utm_x,setup_date,retrieval_date,Burn,Line,Comments,Problem1_from,Problem1_to,Problem2_from,Problem2_to,Problem3_from,Problem3_to
RICH01,6389945,520368,11-Nov-17,10-Apr-18,No,Seismic,No camera issues in first session,,,,,,
RICH02,6389755,516993,11-Nov-17,10-Apr-18,No,Seismic,No camera issues in first session,,,,,,
RICH03,6389724,510401,11-Nov-17,10-Apr-18,No,Seismic,Snow covering majority of fov (>50%),18-Dec-17,17-Jan-18,31-Jan-18,03-Feb-18,10-Feb-18,10-Feb-18
RICH04,6389733,513015,11-Nov-17,10-Apr-18,No,Seismic,No camera issues in first session,,,,,,
RICH05,6393249,501406,11-Nov-17,10-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH06,6393159,503734,11-Nov-17,10-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH07,6392854,505915,11-Nov-17,10-Apr-18,No,Game,Snow covering majority of fov (>50%),11-Feb-18,11-Feb-18,,,,
RICH08,6392394,510302,11-Nov-17,10-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH09,6394661,507530,12-Nov-17,10-Apr-18,No,Seismic,No camera issues in first session,,,,,,
RICH10,6392229,516231,11-Nov-17,10-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH11,6392685,514505,11-Nov-17,10-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH12,6394672,504587,12-Nov-17,10-Apr-18,No,Seismic,No camera issues in first session,,,,,,
RICH13,6395995,513056,12-Nov-17,10-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH14,6395198,517941,12-Nov-17,10-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH15,6399394,515316,12-Nov-17,10-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH16,6396310,510344,12-Nov-17,10-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH17,6399287,509029,12-Nov-17,11-Apr-18,No,Game,Snow covering majority of fov (>50%),04-Jan-18,08-Jan-18,11-Feb-18,11-Feb-18,,
RICH18,6398496,511822,12-Nov-17,10-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH19,6402312,510700,12-Nov-17,11-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH20,6401826,507455,12-Nov-17,11-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH21,6401294,516080,13-Nov-17,10-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH22,6401802,513354,13-Nov-17,11-Apr-18,No,Game,No camera issues in first session,,,,,,
RICH23,6404528,513840,13-Nov-17,11-Apr-18,No,Seismic,No camera issues in first session,,,,,,
RICH24,6407930,513985,13-Nov-17,11-Apr-18,No,Game,Timelapse pictures end,17-Jan-18,11-Apr-18,,,,
RICH25,6404536,511251,13-Nov-17,11-Apr-18,No,Seismic,Snow covering majority of fov (>50%),18-Dec-17,05-Jan-18,,,,
RICH26,6404564,504763,13-Nov-17,11-Apr-18,No,Seismic,No camera issues in first session,,,,,,
RICH27,6406033,501856,13-Nov-17,11-Apr-18,No,Seismic,No camera issues in first session,,,,,,
RICH28,6404591,498331,13-Nov-17,11-Apr-18,No,Seismic,No camera issues in first session,,,,,,
RICH29,6404602,495776,13-Nov-17,11-Apr-18,No,Seismic,No camera issues in first session,,,,,,
RICH30,6402459,494931,13-Nov-17,11-Apr-18,No,Game,Timelapse pictures end,29-Nov-17,11-Apr-18,,,,
